ID,CATEGORY,TOPICS,SOURCE,HEADLINE,TEXT,LINK
2,FALSE,Política,El matinal,El Gobierno podrá acceder a las IPs de los móviles: sabrá el nombre de los manifestantes contra Pedro Sánchez,"El Gobierno de Pedro Sánchez y Pablo Iglesias ha encontrado la excusa perfecta para vulnerar la privacidad de los españoles a través de una norma que ha sido diseñada para controlar el orden público en las calles y las comunicaciones en concentraciones, protestas y manifestaciones de todo tipo, incluidas las que se produzcan contra Pedro Sánchez. Según informa el periodista de OKDIARIO, Carlos Cuesta, el Ministerio del Estado de Fernando Grande-Marlaska, podría intervenir las redes sociales y los servicios de comunicaciones de forma puntual siempre que exista un riesgo objetivo y grave para el orden público, la seguridad nacional o la seguridad pública.

Este jueves se confirmaba que servicios de mensajería como Telegram y WhatsApp podrían ser usados para enviar mensajes en situaciones de emergencia pero según detalla el diario digital de Eduardo Inda, esa intervención permitirá al Gobierno conocer la IP de cada terminal que se conecta, existiendo la posibilidad de identificar a las personas que estén en una manifestación.

El anteproyecto que está siendo tramitado por el Ministerio del Interior forma parte de la nueva Ley General de Telecomunicaciones, donde se ha incluido una cláusula con la que se da acceso directo a la Policía en casos excepcionales. En caso de que las empresas incumplan estas obligaciones de servicio público, el Gobierno se reserva la posibilidad de invertir o gestionar los servicios o la explotación de redes.

Con esta nueva medida, el Gobierno de Pedro Sánchez avanza en su voluntad de poder controlar con mayor facilidad a los organizadores de las protestas contra el Ejecutivo. Antes de verano, ya se dio la orden de identificar a los ciudadanos que promovían las caceroladas contra el Gobierno en diversas zonas de Madrid y de todo el territorio nacional.",https://www.elmatinal.com/espana-ultima-hora/el-gobierno-podra-acceder-a-las-ips-de-los-moviles-sabra-el-nombre-de-los-manifestantes-contra-pedro-sanchez/
4,FALSE,Política,AFPFactual,,"Se han dado a conocer los datos electorales preliminares de las Personas Privadas de Libertad (PPL), que en Ecuador votan en primer lugar. La media de los resultados asienta la tendencia marcada desde hace semanas por la mayoría de las encuestadoras; Andrés Arauz consigue un 40,8% del voto, con una diferencia de 17 puntos sobre Guillermo Lasso, el segundo.

Estos números no se pueden usar para realizar una extrapolación perfecta a todo el país, porque la población de las cárceles no es una muestra estadística que sirva para un estudio demoscópico nacional, sin embargo demuestran ciertas claves que adelantan la probable victoria de Andrés Arauz en esta primera vuelta, sin necesidad de acudir a una segunda cita electoral.

En primer lugar se evidencia que la mayoría de las encuestas han acertado al señalar una tendencia al alza de Andrés Arauz, que explotó a partir del debate presidencial. Las casas encuestadoras han sido moderadas en sus cocinas a la hora de contener la subida del candidato progresista porque en la nación hay muchos electores que no se atreven a desvelar su voto por el de la Lista 1, a causa de la imagen negativa que el gobierno y sus aliados han creado de la izquierda en sus medios de comunicación.",https://perma.cc/GYE6-SPMB
6,FALSE,Covid-19,AFPFactual,,"Boooomm
MUJERES VACUNADAS DE COVID ESTÁN MOSTRANDO EFECTOS SECUNDARIOS TÍPICOS DE CANCER DE MAMA
Los médicos de Intermountain Healthcare’s Breast Care Centre de Utah, USA, anuncian nuevas pautas de mamografías para las mujeres vacunadas contra Covid-19 recientemente.
Los médicos han observado inflamación de los ganglios linfáticos en las mamografías de detección de mujeres que se vacunaron recientemente contra COVID-19. 
""Siempre que los vemos en una mamografía de detección normal, llamamos a esas pacientes porque puede significar cáncer de mama metastásico que viaja a los ganglios linfáticos o linfoma o leucemia"".
“Con la vacuna Moderna están habiendo estos síntomas aproximadamente un 11% después de la primera dosis y un 16% después de la segunda dosis. Creemos que también es comparable para la vacuna Pfizer.",https://www.facebook.com/901924190177223/posts/1301105836925721
8,FALSE,Covid-19,AFPFactual,Franja naranja de estado de guerra en chile,"Los bbrazalete sanitarios estan normados bajo el tratado de ginebra, este distintivo solamente se usa en tiempos de guerra y es para atender a los heridos, pues Sebastián Piñera como ve guerra y enemigos poderosos por todos lados, no tuvo ningun problema en no acatar esta norma y utilizó junto a parte de su gabinete, este distintivo que salva vidas en tiempos de guerra.

Sin límites, Piñera ocupa distintivo de guerra para potenciar su discurso del «enemigo poderoso» por Covid_19,
Cabe señalar que los Convenios de Ginebra impiden llevar ese brazalete ya que es un distintivo sanitario en tiempos de guerra.

El Presidente de la República ha cambiado su estrategia comunicacional. Tras el debilitamiento de su imagen producto del Estallido Social, el mandatario ha tomado un nuevo estilo que refuerza su «liderazgo».

No obstante, fue tan evidente el cambio de switch que no pasó desapercibido en redes sociales, las que viralizan memes con imagenes editadas del Jefe de Estado. Ahora bien, esta noche el Presidente dio un salto y lució un llamativo brazalete rojo en su brazo izquierdo. También lo llevaban consigo el alcalde de Santiago, Felipe Alessandri y el Ministro de Desarrollo Social, Sebastián Sichel.

Aparentemente, se trataba de un distintivo que aludía a la emergencia sanitaria y al programa de ayudas anunciado por el mandatario para ir en apoyo a las personas en situación de calle. Pese a esto, es de conocimiento público que un Jefe de Estado no puede utilizar dicho brazalete, lo cual está establecido en los convenios de Ginebra. ¿Por qué? Ya que representa un distintivo sanitario en tiempos de guerra. ","Perma | Presidente de Chile, hace el ridículo usando brazalete sanitario de guerra en discurso. El tratado de ginebra prohibe su uso en tiempos de paz - Prensa Independiente"
9,FALSE,Covid-19,El Español,Francia decreta el estado de emergencia y el toque de queda con la mitad de incidencia que Madrid ,"El Gobierno de Francia declarará el estado de emergencia, el equivalente al estado de alarma español, a partir de este sábado. Los últimos datos de incidencia acumulada en París son de 250 casos de Covid-19, la mitad que la Comunidad de Madrid, que ya ha bajado de los 500 casos según el Ministerio de Sanidad. 

El presidente francés, Emmanuel Macron, anunció este miércoles un toque de queda en París y otras ocho áreas metropolitanas ante el agravamiento de la situación hospitalaria por culpa del coronavirus.

El toque de queda será de 21.00 a 6.00 hora local y comenzará a partir del próximo sábado, con una duración inicial de cuatro semanas ampliables a seis, detalló el presidente en una entrevista televisiva. El toque de queda, vigente a partir del sábado entre las nueve de la noche y las seis de la mañana, se prolongará un mínimo de cuatro semanas. Para alargarlo hasta seis semanas, como desea Macron, hará falta la autorización del Parlamento francés.

""Tenemos que tomar medidas más estrictas"" porque ""estamos en una situación preocupante"", afirmó Macron. El objetivo de la medida es frenar el crecimiento de los contagios a fin de que el actual ritmo pase de los aproximadamente 20.000 diarios al nivel de 3.000-5.000, añadió.
Confinamiento general

Macron aseguró que un reconfinamiento general de la población, como el vivido la pasada primavera, ""sería desproporcionado"", por lo que el toque de queda ""es una medida pertinente"".

""No se podrá ir al restaurante después de las 21.00, no se podrá ir a fiestas a casa de los amigos"", explicó el presidente, quien avanzó que habrá controles policiales y multas para los infractores de hasta 135 euros, igual que un sistema de autorizaciones para quienes tengan que salir por trabajo o motivos ineludibles.

Esta intervención de Macron en horario de máxima audiencia televisiva, se produjo mientras la situación se está agravando en las principales zonas metropolitanas de Francia a pesar de medidas restrictivas tomadas en las últimas semanas, como la obligatoriedad del uso local de mascarillas, el cierre de bares o un protocolo más rígido en restaurantes. Situación seria

La situación es especialmente seria en la región de París (Isla de Francia), donde el índice de casos positivos es de 320,9 por cada 100.000 habitantes y los pacientes de Covid-19 ocupan ya el 45% de todas las camas de cuidados intensivos en los hospitales, según datos comunicados hoy a Efe por las autoridades sanitarias regionales. Además, el 17% de todos los test realizados en la región parisina en el último día dieron resultado positivo.

Macron recalcó que en los hospitales se han aplazado operaciones quirúrgicas para asegurar que había camas de cuidados intensivos para los pacientes de coronavirus, pero ""ya no tenemos camas de reserva. Por eso debemos tomar medidas más estrictas"".

Además de la región de París, las otras áreas metropolitanas con toque de queda serán Marsella-Aix en Provence, Lyon, Lille, Grenoble, Montpellier, Toulouse, Rouen y Saint Etienne. La pandemia ha causado ya 33.000 muertes en Francia, según las últimas cifras oficiales disponibles. ",https://www.elespanol.com/mundo/20201014/francia-declara-emergencia-partir-sabado-impone-toque/528198585_0.html
13,FALSE,Política,Maduras,"¡AY, PAPÁ! Pablo Iglesias pierde juicio y es declarado culpable de recibir más de 272.000 dólares del régimen chavista","El portal español OKDIARIO informó que, tras los datos publicados sobre el pago de 272.325 dólares por parte del régimen de Nicolás Maduro al secretario general de Podemos, Pablo Iglesias, este último fue hallado culpable por las autoridades españolas.
Aparentemente, Iglesias Turrión recibió el monto en una cuenta a su nombre en el banco Euro Pacific del paraíso fiscal de Islas Granadinas.

Además, la sentencia del máximo tribunal de España desestimó la demanda del secretario general de Podemos contra el mismo portal que divulgó la información, dado que, de acuerdo con lo apuntado por el titular del Juzgado de Primera Instancia número 84 de Madrid, los datos no atentaban en contra de su “derecho al honor”.
La magistrado encargada condenó a Iglesias de las costas del procedimiento judicial, luego de un largo proceso que inició el pasado 6 de mayo de 2016.",https://maduradas.com/ay-papa-pablo-iglesias-pierde-juicio-declarado-culpable-recibir-mas-272-000-dolares-del-regimen-chavista/
16,FALSE,Sociedad,AFPFactual,,"COMUNICADO DEL VICEPRESIDENTE DE FEDERACIÓN AJYPE, 
Don Antonio Hidalgo Gomez 
Estimados Amigos y Compañeros, aunque sea un poco tarde os tengo que comunicar una gran noticia. 
EL Director de Muface, se ha puesto en contacto telefónico con el Presidente de esta Asociación de Jubilados y le ha manifestado que el próximo día 24 de Julio, se firma en Madrid el nuevo convenio de Muface, y una de las principales Noticia, es que se dedica el 80% a rebajar el copago de los medicamentos.
Es decir que en las Farmacias, los Jubilados y sus Viudas, pagarán igual que los jubilados y viudas adscritos a la Seguridad Social. 
Una vez firmado el convenio se darán instrucciones a las farmacias para que apliquen las nuevas normas en el cobro de los medicamentos.
Como es natural esta noticia tiene efecto domino, pues también se verán beneficiados todos los jubilados y viudas  que pertenezcan a Muface,  incluso los retirados y viudas de la Guardia Civil y de las Fuerzas Armadas (ISFAS)
Ni que decir tiene, que nos satisface este gran logro conseguido por nuestra Asociacion de Jubilados y nos anima a seguir luchando por los derechos constitucionales de nuestros mayores.
Una vez firmado el convenio se darán instrucciones a las farmacias para que apliquen las nuevas normas en el cobro de los medicamentos.
Como es natural esta noticia tiene efecto domino, pues también se verán beneficiados todos los jubilados y viudas  que pertenezcan a Muface,  incluso los retirados y viudas de la Guardia Civil y de las Fuerzas Armadas (ISFAS)
Desde Ajype seguimos luchando.
Buenos días y feliz martes.
Federación de Asociaciones de Jubilados y Pensionistas Españoles ""Movimiento AJYPE""",https://www.facebook.com/groups/757372761427985/permalink/1072363243262267
20,FALSE,Política,Facebook,🐲Las palabras de Vladimir Putin a la periodista Megyn Kelly 🐲,"El presidente de Rusia,Vladimir Putín, destrozó la ideología de género en entrevista con la periodista norteamericana Megyn Kelly. Se trata de uno de los discursos más devastadores contra esa ideología que haya hecho nunca un líder europeo.
Putin comienza haciendo una analogía para exponer su punto de vista: “Supongamos que le digo que soy el mejor presidente del mundo y alguien pregunta ¿de dónde surge esta autopercepción? Yo podría argumentarlo diciendo que he sido elegido tres veces; de hecho ostento el récord de ser el mandatario que más tiempo ha estado en ese cargo desde la caída de la URSS. Si le agregamos todos los reconocimientos que he obtenido, vale auto-percibirme como el mejor presidente del mundo. Y si a alguien se le ocurre pensar lo contrario será tratado de fóbico y me encargaré de castigarlo. Pero no siendo eso suficiente, crearé leyes para que nadie pueda decir que hay otro mejor presidente. Pero ¿y si visitara un psiquiatra que discrepara conmigo apelando a su conocimiento diciéndome que NO soy el mejor y que lo que tengo es un trastorno narcisista? Describiría al siquiatra como atrevido y entonces es hora de crear un lobby. Reúno colegas que piensen que son todos los mejores del mundo. Estos son gente con recursos suficientes para presionar a cualquiera. Decidimos ir a los manuales de salud mental y obligamos a quitar “trastorno narcisista” de sus páginas. Y quien lo olvide será diagnosticado fóbico.
“Hay una ridícula ley en Inglaterra que prohíbe a los médicos llamar ‘madre’ a las embarazadas para no ofender a las mujeres que se sienten hombres. Una minoría con DISFORIA imponiéndose por encima de todos nosotros.
“Analizo la realidad. Nadie debe justificarse por no ser homosexual. Hay movimientos y activistas denominándonos “trastornados” a quienes no queremos acostarnos con transexuales. Les cuesta entender que yo la cama la comparto con quien quiero.
“Si usted quiere ir por la vida diciendo que es un oso panda, por supuesto que no me molesta. Pero si usted va a tratarme de fóbico por observar que usted no es un oso panda, o si usted comienza a insinuar que yo padezco alguna suerte de trastorno por querer ir a la cama con mi esposa en lugar de con un oso panda, no me pida tomarla en serio. Quieren crear leyes para que no podamos decir las palabras ‘niña’ y ‘niño’. Decir que los niños tienen pene se ha convertido en un delito de odio. Eso no es delito de odio, es biología. ¿En qué clase de mundo vivimos que se nos prohíbe el sentido común para satisfacer una minoría irracional?
“¿Usted tiene noción de la aberración que está teniendo Canadá?: A los padres que repudien la enseñanza de ideología de género para sus hijos, se los quitan”.
En este punto, la periodista espetó a Putin: “Si yo me siento un hombre, ¿quién es usted para decirme que no soy un hombre?”.
Putín: “Bueno, en ese caso, yo me siento una ballena azul con superpoderes mutantes. Supongamos ahora, hablando en serio, que tratáramos los desórdenes alimenticios con esa ideología. Las personas anoréxicas se perciben gordas, aunque están peligrosamente delgadas. Pero según esta ideología, deberíamos decirles que están gordas, impulsándolas así, a la muerte. A los psiquiatras que dicen que los transexuales padecen un trastorno, tratémoslos como fóbicos.
“La misma ideología puede aplicarse a cualquier cosa: ¿Por qué no soy japonés?, y ¿qué pasaría si exijo la ciudadanía al Gobierno de Estados Unidos porque me siento estadounidense?
“La ideología de género carece de sustento. Me niego a someterme al capricho de unos pocos”.
A favor con Vladimir Putin, me niego hacer parte de su movimiento.",https://www.facebook.com/groups/176567826914116/permalink/434447057792857/
22,FALSE,Covid-19,AFPFactual,Internacional – Nanorobot encontrado en la prueba de PCR,"De nuevo se hizo realidad una teoría de la conspiración. En el teatro que se hacía en torno a las pruebas masivas, y sobre todo con qué vehemencia (incluso en las escuelas, sin el consentimiento de los padres, etc.)
Era muy claro esperar que no se tratara solo de los números positivos de prueba requeridos.

Hasta donde se sabe, estas piezas tienen un tamaño de 2,5 nano. (0,006 mm). Nuestros glóbulos rojos tienen un tamaño de 8000 nano. Esto significa que esta “cosa diminuta” es lo suficientemente pequeña como para atravesar fácilmente la barrera hematoencefálica.

Se agradece por la información a la Dra. Patricia Callisperis.",https://textossalta.com/internacionales/internacional-nanorobot-encontrado-en-la-prueba-de-pcr/
25,FALSE,Internacional,Crónica Directo,"Se disfraza de pájaro, se sube a un árbol y se caga encima de dos personas","Un hombre disfrazado de pájaro ha protagonizado la broma de mal gusto de los Carnavales de Albacete. El hombre decidió meterse en el papel de ave y tras conseguir un disfraz, se subió a un árbol y defecó encima de dos personas.

Los hechos ocurrieron alrededor de las tres de la madrugada. La policía recibió una llamada alertando de un individuo subido al árbol de un jardín que se había instalado con motivo de la festividad. En la misma llamada testigos de lo sucedido, informaron que un hombre estaba subido en un árbol y había defecado sobre dos personas que, tras su comportamiento, querían agredirle.

Detenido y protegido de las agresiones
Tres patrullas se personaron en el lugar de los hechos donde un grupo de jóvenes apuntaba al árbol donde se encontraba el autor de los hechos increpando al gracioso e insultándole: ""Baja hijo de puta, baja que te vas a cagar pero de verdad”.

El hombre bajo del árbol acatando las órdenes de los agentes con evidentes signos de estar bajo los efectos del alcohol y otras sustancias. Los agentes evitaron que fuera agredido y fue arrestado y llevado a comisaría. ",https://cronicaglobal.elespanol.com/cronica-directo/sucesos/disfraza-pajaro-sube-arbol-defeca-encima_122438_102.html
